index,parfamName,environWeighted,parfam,per503,pervote,avgVote
1973-01-01,SOC,2674.334451,11,100.86200000000001,296.29900000000004,26.93627272727273
1974-01-01,AGR,340.01526,3,17.965999999999998,43.025,14.341666666666667
1974-01-01,CHR,1479.3854800000001,13,60.172,326.844,25.141846153846153
1974-01-01,CON,994.9087480000001,6,50.632,114.66,19.11
1974-01-01,ETH,207.103435,5,34.932,29.378,5.8756
1974-01-01,LEF,696.4832010000001,9,68.689,100.582,11.175777777777776
1974-01-01,LIB,457.35314200000005,11,52.348,87.611,7.964636363636364
1974-01-01,NAT,287.224853,6,38.452000000000005,42.801,7.133500000000001
1974-01-01,SIP,62.41926200000001,3,15.376000000000001,11.119,3.7063333333333333
1974-01-01,SOC,2969.346775000001,12,119.53800000000001,305.292,25.441
1975-01-01,AGR,302.513724,3,14.956,44.244,14.748
1975-01-01,CHR,1310.9296120000001,12,48.706999999999994,273.483,22.79025
1975-01-01,CON,1290.8056199999999,8,56.434,143.73600000000002,17.967000000000002
1975-01-01,ETH,125.024846,3,24.028,15.021,5.007000000000001
1975-01-01,LEF,828.3393570000002,13,98.286,126.512,9.731692307692308
1975-01-01,LIB,381.339238,10,40.925,99.123,9.9123
1975-01-01,NAT,162.872192,6,38.105000000000004,34.875,5.8125
1975-01-01,SIP,51.70606200000001,3,12.576000000000002,10.014,3.3379999999999996
1975-01-01,SOC,3316.5580250000003,14,126.953,354.166,25.297571428571427
1976-01-01,AGR,294.82202400000006,3,14.856000000000002,43.228,14.409333333333334
1976-01-01,CHR,1378.620821,12,49.313,285.772,23.814333333333334
1976-01-01,CON,831.3082399999998,7,37.108999999999995,136.406,19.48657142857143
1976-01-01,ETH,125.024846,3,24.028,15.021,5.007000000000001
1976-01-01,LEF,856.6950290000001,12,87.859,127.54999999999998,10.629166666666665
1976-01-01,LIB,328.563216,10,38.301,78.541,7.8541
1976-01-01,NAT,124.811286,7,37.876000000000005,32.869,4.695571428571428
1976-01-01,SIP,51.70606200000001,3,12.576000000000002,10.014,3.3379999999999996
1976-01-01,SOC,3050.1296490000004,15,123.89100000000002,346.176,23.0784
1977-01-01,AGR,294.82202400000006,3,14.856000000000002,43.228,14.409333333333334
1977-01-01,CHR,885.147856,15,41.81999999999999,340.26400000000007,22.68426666666667
1977-01-01,CON,801.1422439999999,10,39.34899999999999,168.738,16.8738
1977-01-01,ETH,131.25057399999997,10,35.928,29.439,2.9439
1977-01-01,LEF,872.175892,13,100.08599999999998,98.74699999999999,7.595923076923076
1977-01-01,LIB,678.294397,14,61.184000000000005,145.78300000000002,10.41307142857143
1977-01-01,NAT,149.00648600000002,7,39.476,33.895,4.842142857142858
1977-01-01,SIP,59.61406200000001,3,13.876000000000001,11.528,3.8426666666666667
1977-01-01,SOC,3295.236035,15,110.92500000000001,411.425,27.428333333333335
1978-01-01,AGR,294.82202400000006,3,14.856000000000002,43.228,14.409333333333334
1978-01-01,CHR,1030.938291,13,46.544000000000004,298.029,22.92530769230769
1978-01-01,CON,777.9292439999999,11,42.148999999999994,181.019,16.45627272727273
1978-01-01,ETH,111.373659,6,25.268,23.638999999999996,3.9398333333333326
1978-01-01,LEF,850.458392,11,86.48599999999999,90.40299999999999,8.218454545454545
1978-01-01,LIB,599.723776,12,57.989000000000004,116.61899999999999,9.71825
1978-01-01,NAT,150.20611100000002,8,40.351,35.266000000000005,4.408250000000001
1978-01-01,SIP,59.61406200000001,3,13.876000000000001,11.528,3.8426666666666667
1978-01-01,SOC,2899.3938080000003,15,105.76600000000002,379.628,25.308533333333333
1979-01-01,AGR,400.117903,3,22.933,36.875,12.291666666666666
1979-01-01,CHR,1000.1084829999999,12,44.26,292.115,24.342916666666667
1979-01-01,CON,444.42820599999993,10,19.369,175.32,17.532
1979-01-01,ETH,70.007034,9,23.386,19.218,2.1353333333333335
1979-01-01,LEF,1030.014918,15,103.18599999999999,146.32899999999998,9.755266666666666
1979-01-01,LIB,558.762638,12,58.938,124.506,10.3755
1979-01-01,NAT,171.94852,8,34.267,33.720000000000006,4.215000000000001
1979-01-01,SIP,86.56096200000002,3,25.076,10.865,3.6216666666666666
1979-01-01,SOC,2042.0635469999997,17,79.343,372.38700000000006,21.905117647058827
1980-01-01,AGR,400.117903,3,22.933,36.875,12.291666666666666
1980-01-01,CHR,1041.6633729999999,12,50.821000000000005,289.379,24.11491666666667
1980-01-01,CON,689.521116,9,27.53,164.863,18.31811111111111
1980-01-01,ETH,60.711824,4,14.644,14.26,3.565
1980-01-01,LEF,825.578827,12,82.35100000000001,105.586,8.798833333333333
1980-01-01,LIB,429.56823599999996,10,44.889,112.761,11.2761
1980-01-01,NAT,190.28643,8,42.428,34.07000000000001,4.258750000000001
1980-01-01,SIP,86.56096200000002,3,25.076,10.865,3.6216666666666666
1980-01-01,SOC,2096.5916079999997,17,78.20100000000001,359.105,21.123823529411766
1981-01-01,AGR,400.117903,3,22.933,36.875,12.291666666666666
1981-01-01,CHR,1350.9470189999997,14,53.03000000000001,319.51399999999995,22.822428571428567
1981-01-01,CON,818.0503160000001,12,37.22999999999999,199.07199999999997,16.589333333333332
1981-01-01,ECO,3.9011000000000005,2,1.5890000000000002,4.839,2.4195
1981-01-01,ETH,125.75276700000002,6,27.883000000000003,25.372,4.228666666666666
1981-01-01,LEF,919.757153,14,104.048,99.32600000000002,7.0947142857142875
1981-01-01,LIB,499.83027400000003,13,42.583,157.817,12.13976923076923
1981-01-01,NAT,130.57545499999998,8,37.028,31.699000000000005,3.9623750000000006
1981-01-01,SIP,51.64186200000001,3,13.076000000000002,9.686,3.228666666666667
1981-01-01,SOC,2582.8918329999997,16,100.90700000000001,401.03299999999996,25.064562499999997
1982-01-01,AGR,352.59070299999996,3,20.633,34.281,11.427
1982-01-01,CHR,1501.9444739999997,16,58.86000000000001,354.972,22.18575
1982-01-01,CON,665.4327159999999,10,24.259,227.5,22.75
1982-01-01,ECO,2.6136600000000003,1,1.0290000000000001,2.54,2.54
1982-01-01,ETH,74.060218,7,25.240000000000002,17.139000000000003,2.448428571428572
1982-01-01,LEF,773.6238979999999,13,112.58999999999997,77.95499999999998,5.99653846153846
1982-01-01,LIB,424.8187630000001,12,50.653999999999996,109.97200000000001,9.164333333333333
1982-01-01,NAT,134.815217,9,42.129999999999995,32.53,3.6144444444444446
1982-01-01,SIP,50.12357500000001,3,13.143000000000002,9.216999999999999,3.072333333333333
1982-01-01,SOC,2975.290312,16,126.25300000000001,418.975,26.1859375
1983-01-01,AGR,395.30620799999997,3,22.708000000000002,34.61599999999999,11.538666666666664
1983-01-01,CHR,1048.26828,13,37.756,308.033,23.694846153846154
1983-01-01,CON,218.45346899999998,9,11.177999999999999,181.00300000000001,20.111444444444444
1983-01-01,ECO,42.56982200000001,4,13.986000000000002,9.937000000000001,2.4842500000000003
1983-01-01,ETH,74.52463700000001,4,19.157,14.488,3.622
1983-01-01,LEF,553.6071439999998,15,87.72799999999998,116.833,7.788866666666666
1983-01-01,LIB,308.75605400000006,11,46.873,82.17299999999999,7.470272727272726
1983-01-01,NAT,84.702825,9,22.588,36.444,4.049333333333333
1983-01-01,SIP,50.12357500000001,3,13.143000000000002,9.216999999999999,3.072333333333333
1983-01-01,SOC,2483.661102,17,98.431,426.006,25.059176470588234
1984-01-01,AGR,395.30620799999997,3,22.708000000000002,34.61599999999999,11.538666666666664
1984-01-01,CHR,981.6804549999998,13,33.752,308.647,23.742076923076922
1984-01-01,CON,325.4369969999999,10,17.714,200.768,20.0768
1984-01-01,ECO,59.78982200000001,5,18.086000000000002,14.137,2.8274
1984-01-01,ETH,74.52463700000001,4,19.157,14.488,3.622
1984-01-01,LEF,727.495785,14,118.62299999999999,81.102,5.793
1984-01-01,LIB,296.179442,11,48.693000000000005,90.213,8.201181818181817
1984-01-01,NAT,84.702825,9,22.588,31.12,3.457777777777778
1984-01-01,SIP,49.05259200000001,3,12.326000000000004,9.27,3.09
1984-01-01,SOC,2691.416838,14,102.94200000000001,381.177,27.226928571428573
1985-01-01,AGR,396.10140799999994,3,23.408,31.269999999999996,10.423333333333332
1985-01-01,CHR,968.9538979999999,15,43.04500000000001,321.085,21.405666666666665
1985-01-01,CON,255.15764399999995,9,14.222999999999999,177.824,19.758222222222223
1985-01-01,ECO,60.544408000000004,6,15.521000000000003,17.85,2.975
1985-01-01,ETH,67.60237900000001,5,15.391,21.848,4.3696
1985-01-01,LEF,597.1575879999999,13,96.414,82.748,6.365230769230769
1985-01-01,LIB,255.64373600000002,11,38.376999999999995,94.542,8.594727272727273
